npsn,nama_sekolah,jenis,status,alamat,kelurahan,kecamatan,lintang,bujur
10807061,SMAN 15 BANDAR LAMPUNG,SMA,NEGERI,JL. TURI RAYA,Labuhan Dalam,Tanjung Senang,-5.360300000000,105.267900000000
10807038,SMAS PANGUDI LUHUR,SMA,SWASTA,JL. RATU DIBALAU NO. 176,Tanjung Senang,Tanjung Senang,-5.356600000000,105.262500000000
10816150,SMAS YADIKA,SMA,SWASTA,JL. SOEKARNO HATTA,Labuhan Dalam,Tanjung Senang,-5.356107000000,105.256826000000
70046926,SMA ISLAM EL SYIHAB,SMA,SWASTA,JL. Pulau NIas Gg. Kelurahan No. 2,Sukabumi,Sukabumi,-5.395900000000,825.303800000000
10807030,SMA S FRANSISCUS,SMA,SWASTA,JL.BUMIMANTI 2,Kampung Baru,Labuhan Ratu,-5.373400000000,105.250500000000
10807035,SMA S MUHAMMADIYAH 2,SMA,SWASTA,JL. Z..A. PAGAR ALAM NO. 14,LABUHAN RATU,Labuhan Ratu,-5.377700000000,105.252600000000
10807039,SMAS AL - AZHAR,SMA,SWASTA,JL. M. NUR 1,Sepang Jaya,Labuhan Ratu,-5.380300000000,105.270500000000
10807021,SMA N 10 BANDAR LAMPUNG,SMA,NEGERI,JL. GATOT SUBROTO No. 81,Tanjung Gading,Kedamaian,-5.428700000000,105.276200000000
10815065,SMA S TUNAS MEKAR INDONESIA,SMA,SWASTA,JL. ARIF RAHMAN HAKIM NO. 30,Kedamaian,Kedamaian,-5.400500000000,105.281700000000
10807020,SMA N 1 BANDAR LAMPUNG,SMA,NEGERI,JL. JENDERAL SUDIRMAN NO. 41,Enggal,Enggal,-5.422381000000,105.265241000000
10807025,SMA S ARJUNA,SMA,SWASTA,JL. TULANG BAWANG No. 35,Enggal,Enggal,-5.418300000000,105.250700000000
10807013,SMA S UTAMA 2,SMA,SWASTA,JL. JEND. SUDIRMAN NO. 39,Rawa Laut,Enggal,-5.422100000000,105.258900000000
10807016,SMA S XAVERIUS BANDAR LAMPUNG,SMA,SWASTA,JL. CENDANA NO. 31 RAWA LAUT,Rawa Laut,Enggal,-5.425000000000,105.268400000000
10807017,SMA S YP UNILA,SMA,SWASTA,Jl. Jend. Suprapto No. 88,Enggal,Enggal,-5.415300000000,105.256200000000
10807014,SMAS UTAMA 3,SMA,SWASTA,JL. Jend. Sudirman No. 39 Kecamatan Enggal Kota Bandar Lampung,Rawa Laut,Enggal,-5.422300000000,105.259200000000
69964173,SMA IT Quran Qordhova,SMA,SWASTA,Jl. Purnawirawan Raya Gg. Swadaya VIB No. 2B Langkapura Bandarlampung,Gunung Terang,Langkapura,-5.384177000000,105.233052000000
69775683,SMAS IT AR RAIHAN,SMA,SWASTA,JL. PURNAWIRAWAN No. 114,Gunung Terang,Langkapura,-5.378900000000,105.209400000000
10807036,SMA S NURUL ISLAM,SMA,SWASTA,JL.GATOT SUBROTO GG HI. SY. PAYAKUN 55,Garuntang,Bumi Waras,-5.439100000000,105.285100000000
69985574,SMA ASSAFINA,SMA,SWASTA,Jl. Telukbone No. 33/48 Sukabanjar II,Kota Karang,Teluk Betung Timur,-5.456700000000,105.261500000000
10807040,SMAN 11 BANDAR LAMPUNG,SMA,NEGERI,JL. RE. MARTADINATA KM. 4 SUKAMAJU,Sukamaju,Teluk Betung Timur,-5.472600000000,105.243200000000
